1, 1, 1, 0.1464102566242218, 79.94799995422363
2, 2, 2, 0.3169230818748474, 77.23399996757507
3, 3, 3, 0.3789743483066559, 77.94600009918213
4, 4, 4, 0.3317948579788208, 77.98300004005432
5, 5, 5, 0.5120512843132019, 83.48900008201599
6, 6, 6, 0.5507692098617554, 78.07500004768372
7, 7, 7, 0.6087179780006409, 77.52100014686584
8, 8, 8, 0.678205132484436, 77.91600012779236
9, 9, 9, 0.6917948722839355, 76.69500017166138
10, 10, 10, 0.735897421836853, 78.0019998550415
11, 11, 11, 0.724871814250946, 81.91700005531311
12, 12, 12, 0.7243589758872986, 77.7039999961853
13, 13, 13, 0.7684615254402161, 80.31000018119812
14, 14, 14, 0.7925640940666199, 80.43799996376038
15, 15, 15, 0.7658974528312683, 82.33899998664856
16, 16, 16, 0.7969231009483337, 93.84450006484985
17, 17, 17, 0.8310256600379944, 95.89800000190735
18, 18, 18, 0.805384635925293, 91.49900007247925
19, 19, 19, 0.8110256195068359, 81.01200008392334
20, 20, 20, 0.8256410360336304, 79.0939998626709
21, 21, 21, 0.8415384888648987, 111.06599998474121
22, 22, 22, 0.843589723110199, 103.42300009727478
23, 23, 23, 0.8735897541046143, 109.45900011062622
24, 24, 24, 0.884871780872345, 107.57599997520447
25, 25, 25, 0.8810256123542786, 126.84999990463257
26, 26, 26, 0.865128219127655, 109.72200012207031
27, 27, 27, 0.892307698726654, 110.19200015068054
28, 28, 28, 0.8561538457870483, 104.71300005912781
29, 29, 29, 0.8889743685722351, 111.73900008201599
30, 30, 30, 0.9020512700080872, 96.78200006484985
31, 31, 31, 0.9041025638580322, 100.35949993133545
32, 32, 32, 0.8830769062042236, 89.09249997138977
33, 33, 33, 0.9135897159576416, 101.92700004577637
34, 34, 34, 0.8894872069358826, 93.12899994850159
35, 35, 35, 0.9035897254943848, 103.48850011825562
36, 36, 36, 0.9110256433486938, 104.6010000705719
37, 37, 37, 0.9102563858032227, 107.22549986839294
38, 38, 38, 0.9202564358711243, 103.33899998664856
39, 39, 39, 0.9184615612030029, 97.78699994087219
40, 40, 40, 0.9130769371986389, 98.98200011253357
41, 41, 41, 0.9179487228393555, 95.07599997520447
42, 42, 42, 0.9182051420211792, 98.24699997901917
43, 43, 43, 0.9184615612030029, 92.48399996757507
44, 44, 44, 0.9300000071525574, 116.0329999923706
45, 45, 45, 0.9279487133026123, 111.48900008201599
46, 46, 46, 0.9264102578163147, 116.65000009536743
47, 47, 47, 0.9146153926849365, 181.5220000743866
48, 48, 48, 0.9251282215118408, 125.99100017547607
49, 49, 49, 0.9330769181251526, 120.7020001411438
50, 50, 50, 0.9323077201843262, 116.88299989700317
51, 51, 51, 0.9328204989433289, 127.61999988555908
52, 52, 52, 0.9269230961799622, 105.88250017166138
53, 53, 53, 0.9351282119750977, 92.93999981880188
54, 54, 54, 0.936923086643219, 93.44799995422363
55, 55, 55, 0.9343589544296265, 93.26799988746643
56, 56, 56, 0.9402564167976379, 95.82799983024597
57, 57, 57, 0.9289743304252625, 93.77699995040894
58, 58, 58, 0.9364102482795715, 95.50999999046326
59, 59, 59, 0.9402564167976379, 93.80800008773804
60, 60, 60, 0.9371795058250427, 95.12000012397766
61, 61, 61, 0.9430769085884094, 97.38499999046326
62, 62, 62, 0.9325640797615051, 97.48399996757507
63, 63, 63, 0.936923086643219, 96.83399987220764
64, 64, 64, 0.9466666579246521, 96.08400011062622
65, 65, 65, 0.9484615325927734, 98.13599991798401
66, 66, 66, 0.9492307901382446, 97.0809998512268
67, 67, 67, 0.9458974599838257, 99.00600004196167
68, 68, 68, 0.9374359250068665, 97.99900007247925
69, 69, 69, 0.944615364074707, 99.31200003623962
70, 70, 70, 0.944615364074707, 101.8600001335144
71, 71, 71, 0.9466666579246521, 99.06949996948242
72, 72, 72, 0.9384615421295166, 98.6340000629425
73, 73, 73, 0.9464102387428284, 99.75099992752075
74, 74, 74, 0.9502564072608948, 100.24349999427795
75, 75, 75, 0.9494871497154236, 100.13450002670288
76, 76, 76, 0.95333331823349, 101.16499996185303
77, 77, 77, 0.9530768990516663, 101.53200006484985
78, 78, 78, 0.9482051134109497, 102.72399997711182
79, 79, 79, 0.9484615325927734, 1449.7530000209808
80, 80, 80, 0.9474359154701233, 120.16600012779236
81, 81, 81, 0.9482051134109497, 105.38299989700317
82, 82, 82, 0.9538461565971375, 108.66499996185303
83, 83, 83, 0.9492307901382446, 116.59799981117249
84, 84, 84, 0.9482051134109497, 152.98099994659424
85, 85, 85, 0.9548717737197876, 184.77999997138977
86, 86, 86, 0.9520512819290161, 174.8529999256134
87, 87, 87, 0.949999988079071, 175.05200004577637
88, 88, 88, 0.9469230771064758, 186.5460000038147
89, 89, 89, 0.9530768990516663, 186.25099992752075
90, 90, 90, 0.9561538696289062, 189.43499994277954
91, 91, 91, 0.9507692456245422, 177.34800004959106
92, 92, 92, 0.9520512819290161, 171.0329999923706
93, 93, 93, 0.9553846120834351, 187.4630000591278
94, 94, 94, 0.9538461565971375, 184.4099998474121
95, 95, 95, 0.9553846120834351, 174.45299983024597
96, 96, 96, 0.9582051038742065, 169.51000022888184
97, 97, 97, 0.9574359059333801, 181.7149999141693
98, 98, 98, 0.9530768990516663, 179.44900012016296
99, 99, 99, 0.9546154141426086, 184.9300000667572
100, 100, 100, 0.9548717737197876, 184.95700001716614
